project,arc,arc_type,sequence,top_folder,path,name,size_bytes,modified_utc,mapped_by,needs_review
The Black Swan Accords – Daughter of the Dawn,VALOR Series,series,2,01_VALOR,01_VALOR/00_Series_Master/outline/01-The_Sword_at_First_Light/0-Scene_1.md,0-Scene_1.md,621,2025-11-14T21:37:29.541384+00:00,top_folder:01_VALOR,no
The Black Swan Accords – Daughter of the Dawn,VALOR Series,series,2,01_VALOR,01_VALOR/00_Series_Master/outline/01-The_Sword_at_First_Light/1-Scene_2.md,1-Scene_2.md,542,2025-11-14T21:37:29.541457+00:00,top_folder:01_VALOR,no
The Black Swan Accords – Daughter of the Dawn,VALOR Series,series,2,01_VALOR,01_VALOR/00_Series_Master/outline/01-The_Sword_at_First_Light/2-Scene_3.md,2-Scene_3.md,624,2025-11-14T21:37:29.541457+00:00,top_folder:01_VALOR,no
The Black Swan Accords – Daughter of the Dawn,VALOR Series,series,2,01_VALOR,01_VALOR/00_Series_Master/outline/01-The_Sword_at_First_Light/3-Scene_4.md,3-Scene_4.md,560,2025-11-14T21:37:29.541457+00:00,top_folder:01_VALOR,no
The Black Swan Accords – Daughter of the Dawn,VALOR Series,series,2,01_VALOR,01_VALOR/00_Series_Master/outline/01-The_Sword_at_First_Light/4-Scene_5.md,4-Scene_5.md,487,2025-11-14T21:37:29.541457+00:00,top_folder:01_VALOR,no
The Black Swan Accords – Daughter of the Dawn,VALOR Series,series,2,01_VALOR,01_VALOR/00_Series_Master/outline/01-The_Sword_at_First_Light/folder.txt,folder.txt,306,2025-11-14T21:37:29.541457+00:00,top_folder:01_VALOR,no
The Black Swan Accords – Daughter of the Dawn,VALOR Series,series,2,01_VALOR,01_VALOR/01_When_First_They_Came/Master.ipynb,Master.ipynb,1676,2025-11-22T01:23:39.112682+00:00,top_folder:01_VALOR,no
The Black Swan Accords – Daughter of the Dawn,VALOR Series,series,2,01_VALOR,01_VALOR/01_When_First_They_Came/metadata.json,metadata.json,453,2025-11-22T01:27:05.371391+00:00,top_folder:01_VALOR,no
The Black Swan Accords – Daughter of the Dawn,VALOR Series,series,2,01_VALOR,01_VALOR/02_What_It_Cost/Master.ipynb,Master.ipynb,1681,2025-11-22T01:23:39.114271+00:00,top_folder:01_VALOR,no
The Black Swan Accords – Daughter of the Dawn,VALOR Series,series,2,01_VALOR,01_VALOR/02_What_It_Cost/metadata.json,metadata.json,448,2025-11-22T01:27:05.371598+00:00,top_folder:01_VALOR,no
The Black Swan Accords – Daughter of the Dawn,VALOR Series,series,2,01_VALOR,01_VALOR/03_How_We_Changed/Master.ipynb,Master.ipynb,1804,2025-11-22T01:23:39.115777+00:00,top_folder:01_VALOR,no
The Black Swan Accords – Daughter of the Dawn,VALOR Series,series,2,01_VALOR,01_VALOR/03_How_We_Changed/metadata.json,metadata.json,482,2025-11-22T01:27:05.371706+00:00,top_folder:01_VALOR,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/00_Series_Master/Master.ipynb,Master.ipynb,1985,2025-11-22T01:23:39.116688+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/00_Series_Master/characters/Kalina.txt,Kalina.txt,300,2025-11-14T21:37:29.541068+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/01_First_Light/Master.ipynb,Master.ipynb,1808,2025-11-22T01:23:39.118171+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/01_First_Light/metadata.json,metadata.json,501,2025-11-22T01:27:05.371805+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/01_First_Light/🌍 Worldbuilding/GreatBlue Dragons.md,GreatBlue Dragons.md,38,2025-11-14T21:37:29.531837+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/01_First_Light/🌍 Worldbuilding/The Five Spheres.md,The Five Spheres.md,64,2025-11-14T21:37:29.531917+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/01_First_Light/👤 Characters/Halana.md,Halana.md,55,2025-11-14T21:37:29.531917+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/01_First_Light/👤 Characters/Zahara Marshall.md,Zahara Marshall.md,48,2025-11-14T21:37:29.532008+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/01_First_Light/📅 Writing Log/April 2025.md,April 2025.md,70,2025-11-14T21:37:29.532008+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/01_First_Light/📜 Chapters/Chapter 1 - Zahara's Awakening.md,Chapter 1 - Zahara's Awakening.md,53,2025-11-14T21:37:29.532008+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/01_First_Light/🧩 Plot & Arcs/Overall Arc.md,Overall Arc.md,47,2025-11-14T21:37:29.532008+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/01_First_Light/🧭 Dashboard/Dashboard.md,Dashboard.md,559,2025-11-14T21:37:29.532008+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/02_Forgotten_Knowledge/Master.ipynb,Master.ipynb,1677,2025-11-22T01:23:39.119649+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/02_Forgotten_Knowledge/metadata.json,metadata.json,452,2025-11-22T01:27:05.371894+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/03_Constructing_The_Box/Master.ipynb,Master.ipynb,1683,2025-11-22T01:23:39.121197+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/03_Constructing_The_Box/metadata.json,metadata.json,458,2025-11-22T01:27:05.371980+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/04_A_Time_For_Healing/Master.ipynb,Master.ipynb,1683,2025-11-22T01:23:39.122696+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/04_A_Time_For_Healing/metadata.json,metadata.json,458,2025-11-22T01:27:05.372067+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/05_Sacred_Garden/Master.ipynb,Master.ipynb,1649,2025-11-22T01:23:39.124144+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/05_Sacred_Garden/metadata.json,metadata.json,424,2025-11-22T01:27:05.372153+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/06_If_Any_Hath_An_Ear/Master.ipynb,Master.ipynb,1569,2025-11-22T01:23:39.124602+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/06_If_Any_Hath_An_Ear/metadata.json,metadata.json,413,2025-11-22T01:27:05.372251+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/07_Sun_Moon_And_Stars/Master.ipynb,Master.ipynb,1681,2025-11-22T01:23:39.127061+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/07_Sun_Moon_And_Stars/metadata.json,metadata.json,448,2025-11-22T01:27:05.372358+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/08_Ending_The_War/Master.ipynb,Master.ipynb,1651,2025-11-22T01:23:39.128455+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/08_Ending_The_War/metadata.json,metadata.json,424,2025-11-22T01:27:05.372443+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/09_Wisdom_Cries/Master.ipynb,Master.ipynb,1554,2025-11-22T01:23:39.129892+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/09_Wisdom_Cries/metadata.json,metadata.json,404,2025-11-22T01:27:05.372528+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/10_Engineering_Eternity/Master.ipynb,Master.ipynb,1585,2025-11-22T01:23:39.131311+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/10_Engineering_Eternity/metadata.json,metadata.json,435,2025-11-22T01:27:05.372619+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/11_Reversing_The_Curse/Master.ipynb,Master.ipynb,1572,2025-11-22T01:23:39.132762+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/11_Reversing_The_Curse/metadata.json,metadata.json,422,2025-11-22T01:27:05.372703+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/12_Emerging_From_Darkness/Master.ipynb,Master.ipynb,1580,2025-11-22T01:23:39.134768+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/12_Emerging_From_Darkness/metadata.json,metadata.json,430,2025-11-22T01:27:05.372787+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/🌍 Worldbuilding/GreatBlue Dragons.md,GreatBlue Dragons.md,38,2025-11-14T21:37:29.540408+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/🌍 Worldbuilding/The Five Spheres.md,The Five Spheres.md,64,2025-11-14T21:37:29.540478+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/📅 Writing Log/April 2025.md,April 2025.md,70,2025-11-14T21:37:29.540593+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/📜 Chapters/Chapter 1 - Zahara's Awakening.md,Chapter 1 - Zahara's Awakening.md,53,2025-11-14T21:37:29.540593+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/🧩 Plot & Arcs/Overall Arc.md,Overall Arc.md,47,2025-11-14T21:37:29.540593+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/🧩 Plot /Halana.md,Halana.md,55,2025-11-14T21:37:29.540478+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/🧩 Plot /Zahara Marshall.md,Zahara Marshall.md,48,2025-11-14T21:37:29.540593+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Unveiling Series,series,4,02_The_Unveiling,02_The_Unveiling/🧭 Dashboard/Dashboard.md,Dashboard.md,559,2025-11-14T21:37:29.540593+00:00,top_folder:02_The_Unveiling,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/00_Series_Master/Master.ipynb,Master.ipynb,1199,2025-11-22T01:23:39.135650+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/00_Series_Master/characters/Brian_McCord.txt,Brian_McCord.txt,310,2025-11-14T21:37:29.540985+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/00_Series_Master/characters/Fenningway.txt,Fenningway.txt,510,2025-11-14T21:37:29.540114+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/00_Series_Master/characters/Harker.txt,Harker.txt,455,2025-11-14T21:37:29.540114+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/00_Series_Master/characters/Nastaku.txt,Nastaku.txt,253,2025-11-14T21:37:29.541068+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/00_Series_Master/characters/Preori.txt,Preori.txt,242,2025-11-14T21:37:29.541068+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/00_Series_Master/outline/01-The_Beginning/0-Scene_1.md,0-Scene_1.md,546,2025-11-14T21:37:29.540243+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/00_Series_Master/outline/01-The_Beginning/folder.txt,folder.txt,374,2025-11-14T21:37:29.540321+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/01_The_Beginning/Master.ipynb,Master.ipynb,1781,2025-11-22T01:23:39.137078+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/01_The_Beginning/metadata.json,metadata.json,465,2025-11-22T01:27:05.373019+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/02_The_Game/Master.ipynb,Master.ipynb,1688,2025-11-22T01:23:39.138464+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/02_The_Game/metadata.json,metadata.json,442,2025-11-22T01:27:05.373204+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/03_The_Drifter/Master.ipynb,Master.ipynb,1670,2025-11-22T01:23:39.139876+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/03_The_Drifter/metadata.json,metadata.json,411,2025-11-22T01:27:05.373295+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/04_The_Key/Master.ipynb,Master.ipynb,1783,2025-11-22T01:23:39.141280+00:00,top_folder:03_Nightfall,no
The Black Swan Accords – Daughter of the Dawn,The Nightfall Series,series,6,03_Nightfall,03_Nightfall/04_The_Key/metadata.json,metadata.json,460,2025-11-22T01:27:05.373382+00:00,top_folder:03_Nightfall,no
