Track Title,Artist,ISRC,Release Date,MLC Status,BMI Status,Copyright Status,Total Streams,Total Earnings USD,Spotify URL,Internal Notes
Whistle Blower,Hawk Eye The Rapper,QZHN92001333,2020-07-04,Unregistered,Registered,Unfiled,19,0.4274083,https://open.spotify.com/track/7tLixH2ZfAfMPua05kVodC,Imported from EverLight merge
Kamikaze,Hawk Eye The Rapper,QZHN92001332,2020-07-04,Unregistered,Registered,Unfiled,14,1.50408589,https://open.spotify.com/track/3g3nUnS22VriZaR28NU62a,Imported from EverLight merge
Behold A Pale Horse,Hawk Eye The Rapper,QZHN92001331,2020-07-04,Unregistered,Registered,Unfiled,75,0.37254623000000003,https://open.spotify.com/track/748IebhJaeddTs3h5kSQZv,Imported from EverLight merge
Behold A Pale Horse,Hawk Eye The Rapper,QZHN92001331,2020-07-04,Unregistered,Registered,Unfiled,75,0.85147786,https://open.spotify.com/track/748IebhJaeddTs3h5kSQZv,Imported from EverLight merge
Psyops,Hawk Eye The Rapper,QZHN32092792,,Unregistered,Registered,Unfiled,,0.00411685,,Imported from EverLight merge
Reincarnated 2 Resist,Hawk Eye The Rapper,QZK6L2223964,2022-02-22,Unregistered,Registered,Unfiled,4,0.42766009,https://open.spotify.com/track/7xSqSqlJBybQz7IMWwvPAg,Imported from EverLight merge
Artificial Intelligence,Hawk Eye The Rapper,QZK6L2223961,2022-02-22,Unregistered,Registered,Unfiled,3,0.09885497,https://open.spotify.com/track/13cMf89zkoQMPqVthaWcK9,Imported from EverLight merge
Avalanche,Hawk Eye The Rapper,QZK6L2223960,2022-02-22,Unregistered,Registered,Unfiled,3,0.11406766,https://open.spotify.com/track/4cTvmXGroyu3bm1gKmmujW,Imported from EverLight merge
Illuminati,Hawk Eye The Rapper,QZK6L2223957,2022-02-22,Unregistered,Registered,Unfiled,11,0.56480063,https://open.spotify.com/track/2favysgU7ODHWNTNW377Gd,Imported from EverLight merge
Soft Disclosure,Hawk Eye The Rapper,QZK6L2223953,2022-02-22,Unregistered,Registered,Unfiled,5,0.83938855,https://open.spotify.com/track/2logael92Tte7Pm4NPjjj0,Imported from EverLight merge
