Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	Fuck Society	QZFZ42008679	198081390872	2	100	Song	US	0	0.00007637	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	Shakur	QZFZ42008675	198081390872	16	100	Song	OU	0	0.00061092	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	Shakur	QZFZ42008675	198081390872	1	100	Song	US	0	0.00003818	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	Mic Check	QZFZ42008674	198081390872	9	100	Song	OU	0	0.00034364	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	Mic Check	QZFZ42008674	198081390872	2	100	Song	US	0	0.00007637	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	Mind Kontrol	QZFZ62185044	198086399146	4	100	Song	US	0	0.00015273	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	Will You Listen?	QZFZ62027665	198086399429	3	100	Song	OU	0	0.00292432	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	Synthesis	QZDA62424855	198081496550	50	100	Song	OU	0	0.00190913	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	The Game	QZDA62424852	198081496550	1	100	Song	OU	0	0.00097477	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	The Devil Is In The Details	QZWFN2366283	198081496550	1	100	Song	US	0	0.00003818	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	Relentless	QZDA62424849	198081496550	1	100	Song	OU	0	0.00003818	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	Domestic Terrorist	QZDA62424848	198081496550	1	100	Song	OU	0	0.00097477	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	Psychological Warfare	QZDA62424846	198081496550	1	100	Song	OU	0	0.00097477	0.00000000
2025-11-03	2025-11-03	2025-08	Facebook	Hawk Eye The Rapper	Psychological Warfare	QZDA62424846	198081496550	7	100	Song	OU	0	0.00026728	0.00000000
2025-11-03	2025-11-03	2025-08	TikTok	Hawk Eye The Rapper	When My Elites Surround	OZFZ22212090	198078444786	2	100	Song	US	0	0.00188231	0.00000000
2025-11-03	2025-11-03	2025-08	TikTok	Hawk Eye The Rapper	K.T.	OZHN92001339	198082358857	44	100	Song	AZ	0	0.03312859	0.00000000
2025-11-03	2025-11-03	2025-08	TikTok	Hawk Eye The Rapper	K.T.	OZHN92001339	198082358857	2	100	Song	DE	0	0.00150584	0.00000000
2025-11-03	2025-11-03	2025-08	TikTok	Hawk Eye The Rapper	K.T.	OZHN92001339	198082358857	1	100	Song	GE	0	0.00075292	0.00000000
2025-11-03	2025-11-03	2025-08	TikTok	Hawk Eye The Rapper	K.T.	OZHN92001339	198082358857	1	100	Song	KG	0	0.00075292	0.00000000
2025-11-03	2025-11-03	2025-08	TikTok	Hawk Eye The Rapper	K.T.	OZHN92001339	198082358857	1	100	Song	TR	0	0.00075292	0.00000000
2025-11-03	2025-11-03	2025-08	TikTok	Hawk Eye The Rapper	K.T.	OZHN92001339	198082358857	1	100	Song	UZ	0	0.00075292	0.00000000
2025-11-03	2025-11-03	2025-08	TikTok	Hawk Eye The Rapper	Fuck Society	QZFZ42008679	198081390872	1	100	Song	NL	0	0.00075292	0.00000000
2025-11-03	2025-11-03	2025-08	TikTok	Hawk Eye The Rapper	Will You Listen?	QZFZ62027665	198086399429	1	100	Song	SA	0	0.00075292	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	FEMA	OZFZ22212085	198078444786	1	100	Song	OU	0	0.00001811	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Implants	OZFZ22212083	198078444786	1	100	Song	US	0	0.00058367	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Warning Shots	OZHN92001330	198082358857	2	100	Song	US	0	0.00116735	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Syntax	QZFZ42008685	198081390872	1	100	Song	OU	0	0.00058367	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Monumental	QZFZ42008682	198081390872	5	100	Song	OU	0	0.00009055	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Monumental	QZFZ42008682	198081390872	1	100	Song	US	0	0.00001811	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Fuck Society	QZFZ42008679	198081390872	2	100	Song	OU	0	0.00116735	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Fuck Society	QZFZ42008679	198081390872	39	100	Song	OU	0	0.00070627	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Fuck Society	QZFZ42008679	198081390872	2	100	Song	US	0	0.00003622	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Shakur	QZFZ42008675	198081390872	22	100	Song	OU	0	0.00039841	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Shakur	QZFZ42008675	198081390872	1	100	Song	US	0	0.00001811	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Mic Check	QZFZ42008674	198081390872	2	100	Song	OU	0	0.00003622	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Mic Check	QZFZ42008674	198081390872	1	100	Song	US	0	0.00001811	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Mind Kontrol	QZFZ62185044	198086399146	1	100	Song	OU	0	0.00001811	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Mind Kontrol	QZFZ62185044	198086399146	16	100	Song	US	0	0.00028975	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Synthesis	QZDA62424855	198081496550	6	100	Song	OU	0	0.00010866	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	The Game	QZDA62424852	198081496550	4	100	Song	OU	0	0.00233469	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	The Devil Is In The Details	QZWFN2366283	198081496550	1	100	Song	US	0	0.00001811	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Relentless	QZDA62424849	198081496550	1	100	Song	OU	0	0.00058367	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Relentless	QZDA62424849	198081496550	3	100	Song	US	0	0.00005433	0.00000000
2025-11-03	2025-11-03	2025-07	Facebook	Hawk Eye The Rapper	Psychological Warfare	QZDA62424846	198081496550	28	100	Song	OU	0	0.00050707	0.00000000
2025-11-03	2025-11-03	2025-03	Tencent Direct Deal	Hawk Eye The Rapper	Return Of Kings	QZHNB2443344	198471674353	1	100	Song	CN	0	0.00065252	0.00000000
2025-10-26	2025-10-26	2025-09	Apple Music	Hawk Eye The Rapper	The Story Celebrated Throughout Time	OZHN92001340	198082358857	1	100	Song	US	0	0.00458334	0.00000000
2025-10-26	2025-10-26	2025-09	Apple Music	Hawk Eye The Rapper	Reverse This Curse	OZHN92001338	198082358857	1	100	Song	US	0	0.00458334	0.00000000
2025-10-26	2025-10-26	2025-09	Apple Music	Hawk Eye The Rapper	Syntax	QZFZ42008685	198081390872	1	100	Song	US	0	0.00438433	0.00000000
2025-10-26	2025-10-26	2025-09	Apple Music	Hawk Eye The Rapper	The Devil Is In The Details	QZWFN2366283	198081496550	1	100	Song	US	0	0.00819361	0.00000000
2025-10-26	2025-10-26	2025-09	Apple Music	Hawk Eye The Rapper	Relentless	QZDA62424849	198081496550	6	100	Song	US	0	0.02630597	0.00000000
2025-10-25	2025-10-25	2025-09	Apple Music	Hawk Eye The Rapper	Return Of Kings	QZHNB2443344	198471674353	1	100	Song	TW	0	0.00470591	0.00000000
2025-10-25	2025-10-25	2025-09	Apple Music	Hawk Eye The Rapper	Menace To Society	OZHN92001336	198082358857	1	100	Song	CA	0	0.00303667	0.00000000
2025-10-24	2025-10-24	2025-09	YouTube (Red) - Composition	Hawk Eye The Rapper	Incantations	QZFZ42192650	198080486965	1	100	Song	US	0	0.00087656	0.00000000
2025-10-24	2025-10-24	2025-09	YouTube (Red)	Hawk Eye The Rapper	Synthesis	QZDA62424855	198081496550	1	100	Song	AR	0	0.00170919	0.00000000
2025-10-24	2025-10-24	2025-09	YouTube (Ads)	Hawk Eye The Rapper	Mind Kontrol	QZFZ62185044	198086399146	1	100	Song	US	0	0.00227470	0.00000000
2025-10-24	2025-10-24	2025-09	YouTube (Ads)	Hawk Eye The Rapper	Psychological Warfare	QZDA62424846	198081496550	1	100	Song	US	0	0.00421956	0.00000000
